Date,Hour,Value,MonthBlock,IsCancelled,IsPrivate
2025-04-28,09:00:00,WBD,4,0,0
2025-04-28,09:00:00,M,4,0,0
2025-04-29,09:00:00,M,4,0,0
2025-04-30,09:00:00,H,4,0,0
2025-04-01,13:00:00,P,4,0,0
2025-04-01,13:00:00,M,4,0,0
2025-04-02,13:00:00,CANCELLED,4,1,0
2025-04-03,13:00:00,EK,4,0,0
2025-04-04,13:00:00,EK,4,0,0
2025-04-05,13:00:00,MW,4,0,0
2025-04-06,13:00:00,M,4,0,0
2025-04-06,13:00:00,P,4,0,0
2025-04-06,13:00:00,puffins,4,0,0
2025-04-07,13:00:00,P,4,0,0
2025-04-07,13:00:00,WBD,4,0,0
2025-04-07,13:00:00,M,4,0,0
2025-04-08,13:00:00,H,4,0,0
2025-04-08,13:00:00,WBD,4,0,0
2025-04-08,13:00:00,M,4,0,0
2025-04-08,13:00:00,H,4,0,0
2025-04-09,13:00:00,CANCELLED,4,1,0
2025-04-10,13:00:00,H,4,0,0
2025-04-11,13:00:00,CANCELLED,4,1,0
2025-04-12,13:00:00,P,4,0,0
2025-04-12,13:00:00,H,4,0,0
2025-04-12,13:00:00,O,4,0,0
2025-04-13,13:00:00,CANCELLED,4,1,0
2025-04-14,13:00:00,CANCELLED,4,1,0
2025-04-15,13:00:00,H,4,0,0
2025-04-15,13:00:00,M,4,0,0
2025-04-15,13:00:00,P,4,0,0
2025-04-16,13:00:00,CANCELLED,4,1,0
2025-04-17,13:00:00,EK,4,0,0
2025-04-18,13:00:00,H,4,0,0
2025-04-18,13:00:00,M,4,0,0
2025-04-18,13:00:00,P,4,0,0
2025-04-19,13:00:00,P,4,0,0
2025-04-19,13:00:00,M,4,0,0
2025-04-19,13:00:00,WBD,4,0,0
2025-04-20,13:00:00,H,4,0,0
2025-04-20,13:00:00,WBD,4,0,0
2025-04-21,13:00:00,H,4,0,0
2025-04-21,13:00:00,MW,4,0,0
2025-04-22,13:00:00,H,4,0,0
2025-04-22,13:00:00,M,4,0,0
2025-04-23,13:00:00,M,4,0,0
2025-04-23,13:00:00,H,4,0,0
2025-04-23,13:00:00,WBD,4,0,0
2025-04-24,13:00:00,H,4,0,0
2025-04-25,13:00:00,H,4,0,0
2025-04-25,13:00:00,WBD,4,0,0
2025-04-26,13:00:00,H,4,0,0
2025-04-27,13:00:00,H,4,0,0
2025-04-27,13:00:00,MW,4,0,0
2025-04-28,13:00:00,H,4,0,0
2025-04-28,13:00:00,WBD,4,0,0
2025-04-29,13:00:00,H,4,0,0
2025-04-29,13:00:00,M,4,0,0
2025-04-30,13:00:00,H,4,0,0
2025-05-01,09:00:00,CANCELLED,5,1,0
2025-05-02,09:00:00,H!,5,0,0
2025-05-03,09:00:00,H,5,0,0
2025-05-03,09:00:00,P,5,0,0
2025-05-04,09:00:00,H!,5,0,0
2025-05-04,09:00:00,P,5,0,0
2025-05-05,09:00:00,H!,5,0,0
2025-05-06,09:00:00,H,5,0,0
2025-05-06,09:00:00,P,5,0,0
2025-05-07,09:00:00,M,5,0,0
2025-05-07,09:00:00,H!,5,0,0
2025-05-08,09:00:00,H,5,0,0
2025-05-08,09:00:00,M,5,0,0
2025-05-09,09:00:00,CANCELLED,5,1,0
2025-05-10,09:00:00,CANCELLED,5,1,0
2025-05-11,09:00:00,H,5,0,0
2025-05-12,09:00:00,EK,5,0,0
2025-05-13,09:00:00,H,5,0,0
2025-05-14,09:00:00,H,5,0,0
2025-05-14,09:00:00,M,5,0,0
2025-05-14,09:00:00,WBD,5,0,0
2025-05-15,09:00:00,H!,5,0,0
2031-05-16,09:00:00,H,5,0,0
2031-05-16,09:00:00,WBD,5,0,0
2025-05-17,09:00:00,H,5,0,0
2025-05-17,09:00:00,WBD,5,0,0
2025-05-18,09:00:00,M,5,0,0
2025-05-18,09:00:00,WBD,5,0,0
2025-05-19,09:00:00,H,5,0,0
2025-05-19,09:00:00,WBD,5,0,0
2025-05-19,09:00:00,P,5,0,0
2025-05-20,09:00:00,H,5,0,0
2025-05-20,09:00:00,P,5,0,0
2025-05-20,09:00:00,M,5,0,0
2025-05-21,09:00:00,H,5,0,0
2025-05-21,09:00:00,WBD,5,0,0
2025-05-22,09:00:00,H,5,0,0
2025-05-23,09:00:00,H,5,0,0
2025-05-24,09:00:00,H,5,0,0
2025-05-24,09:00:00,M,5,0,0
